DISTRITO,AÑO,MES,DÍA,PRECIPITACIÓN,T MAX,T MINIMA
VIQUES,2010,1,1,0,21.4,7.8
VIQUES,2010,1,2,8.8,19.8,7.8
VIQUES,2010,1,3,2.5,20.8,8.8
VIQUES,2010,1,4,8.5,18.9,9.1
VIQUES,2010,1,5,4.8,17.5,9.4
VIQUES,2010,1,6,1,19.2,9.5
VIQUES,2010,1,7,0,21.2,8.2
VIQUES,2010,1,8,0,23.9,11.9
VIQUES,2010,1,9,14.5,21.8,9.7
VIQUES,2010,1,10,13.1,16.7,9
VIQUES,2010,1,11,7.7,20.5,9.8
VIQUES,2010,1,12,0.7,19.4,9.8
VIQUES,2010,1,13,0,19.2,9.6
VIQUES,2010,1,14,0,20.8,9.8
VIQUES,2010,1,15,9.5,20.5,10.6
VIQUES,2010,1,16,25.4,20.7,9.7
VIQUES,2010,1,17,3.2,20.7,7.9
VIQUES,2010,1,18,15.5,20.9,8.2
VIQUES,2010,1,19,0,19.7,8.5
VIQUES,2010,1,20,5.9,20.8,7.1
VIQUES,2010,1,21,5.4,19.9,9.7
VIQUES,2010,1,22,11.6,14.8,9.8
VIQUES,2010,1,23,2.4,19.2,8.3
VIQUES,2010,1,24,1.2,15.9,7.9
VIQUES,2010,1,25,4.7,17.5,9.2
VIQUES,2010,1,26,0,20.9,6.1
VIQUES,2010,1,27,0,22.8,8
VIQUES,2010,1,28,0,20.7,6.8
VIQUES,2010,1,29,0,22.8,4.8
VIQUES,2010,1,30,3.6,18.8,5.4
VIQUES,2010,1,31,0,20.7,6.9
VIQUES,2010,2,1,3.4,23.6,5.4
VIQUES,2010,2,2,0,22.9,9.7
VIQUES,2010,2,3,0,22.1,10.2
VIQUES,2010,2,4,1.8,23.9,9.2
VIQUES,2010,2,5,4.6,17.8,11.4
VIQUES,2010,2,6,2.4,19.9,9.5
VIQUES,2010,2,7,0,18,9.2
VIQUES,2010,2,8,0,23.8,9.7
VIQUES,2010,2,9,0.6,22.8,8.5
VIQUES,2010,2,10,0,21.3,8
VIQUES,2010,2,11,4.7,23.2,5.1
VIQUES,2010,2,12,0,16,9.7
VIQUES,2010,2,13,6.5,20.8,9.2
VIQUES,2010,2,14,2.1,21.9,6.7
VIQUES,2010,2,15,0,20.1,9.6
VIQUES,2010,2,16,0,19.5,9.6
VIQUES,2010,2,17,3.2,19.8,9.1
VIQUES,2010,2,18,0,18.9,9.8
VIQUES,2010,2,19,11.6,21,9.7
VIQUES,2010,2,20,6.3,19.1,6.9
VIQUES,2010,2,21,6.2,18.6,9.7
VIQUES,2010,2,22,3.2,22.4,8.1
VIQUES,2010,2,23,9.5,18.4,9.8
VIQUES,2010,2,24,4.7,16.8,9.5
VIQUES,2010,2,25,2.4,18.8,8.9
VIQUES,2010,2,26,4.2,18.9,9
VIQUES,2010,2,27,5,17.4,10
VIQUES,2010,2,28,7.1,19.9,8.6
VIQUES,2010,3,1,2.6,18.8,8.2
VIQUES,2010,3,2,1.6,20,9.1
VIQUES,2010,3,3,8.5,21.2,10.7
VIQUES,2010,3,4,3.6,19.4,10.4
VIQUES,2010,3,5,3.1,21.4,9.6
VIQUES,2010,3,6,0,20.9,10.7
VIQUES,2010,3,7,2.1,18.8,10.9
VIQUES,2010,3,8,0,22.2,9.2
VIQUES,2010,3,9,0,20.5,9
VIQUES,2010,3,10,0,21.2,6.5
VIQUES,2010,3,11,0,21.8,7.1
VIQUES,2010,3,12,2.6,20.7,6.8
VIQUES,2010,3,13,9.9,21.8,9.7
VIQUES,2010,3,14,0,19.9,9.5
VIQUES,2010,3,15,6.5,21.2,6.5
VIQUES,2010,3,16,4.8,14.8,9.8
VIQUES,2010,3,17,1.4,19.9,9.1
VIQUES,2010,3,18,6.5,21.2,10.2
VIQUES,2010,3,19,1.8,19.2,8.6
VIQUES,2010,3,20,3.1,22,6.8
VIQUES,2010,3,21,1.2,23.9,8.8
VIQUES,2010,3,22,0,18,8.9
VIQUES,2010,3,23,0,20.9,5
VIQUES,2010,3,24,4.6,22,8.7
VIQUES,2010,3,25,0,19.4,9.8
VIQUES,2010,3,26,0,19.1,10.1
VIQUES,2010,3,27,0,21.4,7.5
VIQUES,2010,3,28,0,23.1,6.8
VIQUES,2010,3,29,0,22.7,9.1
VIQUES,2010,3,30,14.8,20.8,10.1
VIQUES,2010,3,31,24.8,18.8,9
VIQUES,2010,4,1,0,19.4,6.8
VIQUES,2010,4,2,0,21.9,7.8
VIQUES,2010,4,3,6.2,20.8,9
VIQUES,2010,4,4,20.5,19.5,8.8
VIQUES,2010,4,5,0,17.9,6.8
VIQUES,2010,4,6,6.8,18.8,8.7
VIQUES,2010,4,7,0,21.9,8.1
VIQUES,2010,4,8,0,20.9,6.8
VIQUES,2010,4,9,0,21.8,6.4
VIQUES,2010,4,10,0,20.8,5.5
VIQUES,2010,4,11,0,20.2,7.9
VIQUES,2010,4,12,0,20.9,1.8
VIQUES,2010,4,13,0,22.3,2.5
